2.962600e-05,2.478600e-05,4.042500e-05,1.330900e-04,8.016920e-04,2.044380e-03,2.519933e-03,2.121346e-03,1.765917e-03
3.806100e-05,3.221600e-05,4.559100e-05,1.510730e-04,9.039700e-04,2.192422e-03,1.173344e-03,1.461268e-03,1.117997e-03
4.616200e-05,4.013400e-05,5.138800e-05,1.512370e-04,2.305580e-04,1.702441e-03,2.315126e-03,2.652664e-03,1.728433e-03
5.915400e-05,5.055800e-05,5.915400e-05,1.559150e-04,1.402429e-03,1.022915e-03,4.872890e-04,7.876520e-04,1.089644e-03
8.535300e-05,6.995400e-05,6.618100e-05,1.558190e-04,9.054040e-04,2.206845e-03,2.223351e-03,2.074872e-03,1.091395e-03
1.258650e-04,1.016230e-04,8.458600e-05,1.627790e-04,9.217770e-04,3.965450e-04,1.833028e-03,2.101819e-03,1.730305e-03
2.103240e-04,1.594310e-04,1.200570e-04,1.778100e-04,9.156770e-04,1.558516e-03,2.509772e-03,2.120849e-03,1.484343e-03
3.448110e-04,2.571780e-04,1.724660e-04,1.778740e-04,2.563320e-04,1.629556e-03,2.227773e-03,2.418647e-03,1.408372e-03
5.200650e-04,3.827240e-04,2.415970e-04,2.211920e-04,7.805730e-04,1.849208e-03,1.557646e-03,1.811614e-03,1.435868e-03
9.204850e-04,6.915490e-04,4.118140e-04,3.295040e-04,3.253260e-04,1.607105e-03,1.685032e-03,1.966634e-03,1.610625e-03
1.613561e-03,1.195684e-03,6.741620e-04,4.959590e-04,9.842940e-04,2.072572e-03,1.590002e-03,1.840738e-03,1.020453e-03
2.860204e-03,2.068899e-03,1.246928e-03,8.113510e-04,6.300000e-04,1.638600e-03,1.615002e-03,1.871531e-03,1.720457e-03
4.832700e-03,3.468673e-03,2.117306e-03,1.432584e-03,1.426567e-03,2.169518e-03,1.322624e-03,1.555767e-03,1.153382e-03
